
posicao: 0, cidades:
9700, 21, Sambaíba
8900, 21, Poção de Pedras
7100, 21, Morros
6375, 21, Maranhãozinho
6300, 21, Magalhães de Almeida
5500, 21, João Lisboa
5450, 21, Jatobá
4800, 21, Grajaú
3125, 21, Central do Maranhão
3000, 21, Caxias
2325, 21, Buriticupu
2200, 21, Buriti
2150, 21, Brejo de Areia
1400, 21, Balsas
1350, 21, Bacurituba
600, 21, Amarante do Maranhão
550, 21, Amapá do Maranhão
21000, 17, Palmas
20200, 17, São Miguel do Tocantins
20150, 17, São Félix do Tocantins
18550, 17, Riachinho
17800, 17, Ponte Alta do Bom Jesus
15150, 17, Novo Alegre
13700, 17, Monte Santo do Tocantins
11100, 17, Itaporã do Tocantins
9500, 17, Gurupi
6100, 17, Cristalândia
4600, 17, Chapada de Areia
3800, 17, Buriti do Tocantins
2000, 17, Araguaçu
400, 17, Almas
350, 17, Aliança do Tocantins
600, 16, Santana
550, 16, Pracuúba
8100, 15, Tucuruí
8050, 15, Trairão
7300, 15, São Félix do Xingu
6500, 15, Santa Izabel do Pará
5700, 15, Ponta de Pedras
5650, 15, Placas
4950, 15, Nova Esperança do Piriá
4000, 15, Limoeiro do Ajuru
3200, 15, Igarapé-Açu
2400, 15, Castanhal
1725, 15, Brasil Novo
1600, 15, Bonito
800, 15, Ananindeua
175, 14, Cantá
100, 14, Boa Vista
50, 14, Alto Alegre
3700, 13, Santo Antônio do Içá
2900, 13, Maués
1100, 13, Careiro
300, 13, Autazes
500, 12, Sena Madureira
450, 12, Senador Guiomard
1500, 11, Seringueiras
1450, 11, Parecis
700, 11, Campo Novo de Rondônia

---- 536 colisoes nesta posicao ----

posicao: 1, cidade: NULL

posicao: 2, cidades:
21601, 52, Uruaçu
21551, 52, Turvelândia
19001, 52, Sanclerlândia
17401, 52, Pires do Rio
15801, 52, Palmelo
14101, 52, Mutunópolis
14051, 52, Mundo Novo
12501, 52, Luziânia
11701, 52, Jandaia
10901, 52, Itapaci
9101, 52, Goiatuba
8301, 52, Divinópolis de Goiás
7501, 52, Estrela do Norte
6701, 52, Damianópolis
5901, 52, Corumbaíba
4201, 52, Cachoeira de Goiás
3401, 52, Bom Jardim de Goiás
2601, 52, Aurilândia
1801, 52, Aragoiânia
8501, 51, Vera
7776, 51, Santa Terezinha
7701, 51, Rosário Oeste
6851, 51, Porto Estrela
5176, 51, Juruena
5101, 51, Juara
4526, 51, Ipiranga do Norte
3601, 51, Dom Aquino
1001, 51, Araguaiana
201, 51, Água Boa
7976, 50, Taquarussu
7901, 50, Sidrolândia
5251, 50, Laguna Carapã
4601, 50, Itaquiraí
3801, 50, Fátima do Sul
3751, 50, Eldorado
2951, 50, Chapadão do Sul
2001, 50, Batayporã
23101, 43, Vicente Dutra
22376, 43, Unistalda
22301, 43, Tuparendi
22251, 43, Tupandi
21626, 43, Travesseiro
21501, 43, Torres
21451, 43, Teutônia
20701, 43, Sobradinho
20651, 43, Silveira Martins
19901, 43, Sapiranga
18101, 43, São Francisco de Assis
18051, 43, São Domingos do Sul
17301, 43, Santa Vitória do Palmar
17251, 43, Santa Tereza
16501, 43, Salvador do Sul
16451, 43, Salto do Jacuí
15701, 43, Rio Pardo
14076, 43, Passo do Sobrado
14001, 43, Paraí
13201, 43, Nova Petrópolis
12476, 43, Morro Reuter
12401, 43, Montenegro
12351, 43, Montauri
11601, 43, Liberato Salzano
10876, 43, Jacuizinho
10801, 43, Ivoti
10751, 43, Ivorá
9951, 43, Ibirapuitã
9126, 43, Gramado dos Loureiros
9001, 43, Giruá
8201, 43, Flores da Cunha
7401, 43, Esmeralda
6601, 43, Dom Pedrito
6551, 43, Dom Pedro de Alcântara
5801, 43, Constantina
4101, 43, Campos Borges
3301, 43, Caibaté
2501, 43, Bossoroca
2451, 43, Boqueirão do Leão
1701, 43, Barão de Cotegipe
1651, 43, Barão
901, 43, Aratiba
851, 43, Arambaré
19176, 42, Vargem Bonita
19101, 42, Vargeão
18301, 42, Três Barras
18251, 42, Timbó Grande
17501, 42, Seara
16701, 42, São José do Cedro
15901, 42, São Bonifácio
14201, 42, Quilombo
14151, 42, Princesa
13401, 42, Ponte Serrada
13351, 42, Ponte Alta do Norte
12601, 42, Peritiba
11876, 42, Paial
11801, 42, Ouro
11751, 42, Otacílio Costa
10001, 42, Luiz Alves
9201, 42, Lacerdópolis
9151, 42, José Boiteux
8401, 42, Itapiranga
7601, 42, Ipira
6801, 42, Ibicaré
6751, 42, Ibiam
5001, 42, Dionísio Cerqueira
4301, 42, Concórdia
4251, 42, Cocal do Sul
3501, 42, Campo Erê
2701, 42, Botuverá
1901, 42, Aurora
101, 42, Abelardo Luz
51, 42, Abdon Batista
28401, 41, Uraí
27601, 41, Tijucas do Sul
26801, 41, Tapejara
25001, 41, São João do Ivaí
24301, 41, Santo Antônio do Paraíso
23501, 41, Santa Helena
22701, 41, Sabáudia
22651, 41, Rosário do Ivaí
21901, 41, Ribeirão do Pinhal
20101, 41, Porto Amazonas
19301, 41, Pinhão
19251, 41, Pinhal de São Bento
18501, 41, Pato Branco
18451, 41, Pato Bragado
17701, 41, Palmeira
16901, 41, Nova Esperança
15101, 41, Mariluz
14401, 41, Mangueirinha
14351, 41, Manfrinópolis
13601, 41, Lobato
12801, 41, Joaquim Távora
12751, 41, Jesuítas
11001, 41, Itambaracá
10201, 41, Inácio Martins
9401, 41, Guarapuava
8601, 41, Goioerê
8551, 41, Godoy Moreira
7801, 41, Floraí
7751, 41, Figueira
6001, 41, Congonhinhas
5201, 41, Cerro Azul
4501, 41, Capanema
4451, 41, Cantagalo
3701, 41, Cambé
2901, 41, Bituruna
1101, 41, Andirá
1051, 41, Anahy
301, 41, Agudos do Sul
56701, 35, Vinhedo
55901, 35, Uru
54201, 35, Tejupá
53401, 35, Tanabi
52601, 35, Tabapuã
52551, 35, Suzanápolis
51801, 35, Sete Barras
50001, 35, São Luiz do Paraitinga
49201, 35, São João das Duas Pontes
48401, 35, Santópolis do Aguapeí
47601, 35, Santa Rosa de Viterbo
46801, 35, Santa Isabel
45001, 35, Salesópolis
44301, 35, Roseira
44251, 35, Rosana
43501, 35, Riversul
42701, 35, Restinga
41901, 35, Queluz
40101, 35, Pongaí
39301, 35, Pirassununga
38501, 35, Piquete
37701, 35, Piacatu
36901, 35, Pedranópolis
35101, 35, Palmares Paulista
34401, 35, Osasco
33601, 35, Nuporanga
32801, 35, Nova Aliança
31001, 35, Monções
